Design,MetricDomain,NativeScale,N_bits,N_rec,EVM_percent,SNDR_dB,ACLR_L_dBc,ACLR_R_dBc,ACLR_avg_dBc
LPDSM,bb_sign1bit,1,65535,1965,4.87358297967619,26.2430327011129,-23.2272083378977,-23.4725480752558,-23.3498782065767
LPDSM2,bb_sign1bit,1,65535,1965,4.704790908016,26.5491934575408,-26.3516539089173,-26.6950578613099,-26.5233558851136
EFDSM,bb_sign1bit,1,65535,1965,1.54623510026355,36.2144894452936,-23.3930172757002,-23.4630344308059,-23.4280258532531
EFDSM2,bb_sign1bit,1,65535,1965,0.232314434059943,52.678476119291,-26.3990033738117,-26.7304445214973,-26.5647239476545
MASH11,bb_multibit_yout,3,65535,1965,0.154685365447165,56.2110154462691,-26.6315692717298,-26.9980429147854,-26.8148060932576
MASH111,bb_multibit_yout,7,65535,1965,0.092631170376589,60.6648569737747,-27.0607136902022,-27.4492063884091,-27.2549600393056
MASH22,bb_multibit_yout,5,65535,1965,0.174249216612651,55.1765833144203,-27.0001708210426,-27.4061581300885,-27.2031644755656
